iter	Passed	Remaining
0	13	1359
1	23	1141
2	39	1269
3	52	1263
4	60	1154
5	71	1112
6	82	1091
7	93	1069
8	103	1045
9	114	1030
10	123	998
11	135	993
12	143	958
13	155	956
14	169	959
15	184	971
16	198	971
17	211	961
18	222	949
19	237	948
20	250	943
21	263	935
22	275	923
23	286	907
24	298	895
25	310	884
26	325	880
27	342	879
28	353	864
29	364	850
30	371	827
31	385	819
32	399	811
33	415	806
34	429	797
35	440	782
36	450	767
37	463	756
38	479	749
39	491	737
40	502	723
41	513	709
42	524	695
43	534	680
44	542	663
45	552	649
46	564	637
47	580	628
48	595	619
49	607	607
50	617	593
51	629	581
52	644	571
53	657	560
54	676	553
55	693	545
56	708	534
57	729	528
58	744	517
59	757	504
60	770	492
61	783	480
62	796	467
63	809	455
64	822	442
65	835	430
66	847	417
67	860	405
68	880	395
69	895	383
70	908	371
71	925	360
72	941	348
73	954	335
74	973	324
75	987	311
76	1001	299
77	1013	285
78	1027	273
79	1040	260
80	1051	246
81	1067	234
82	1080	221
83	1092	208
84	1104	194
85	1118	182
86	1128	168
87	1138	155
88	1149	142
89	1161	129
90	1173	116
91	1185	103
92	1195	89
93	1206	76
94	1217	64
95	1228	51
96	1239	38
97	1250	25
98	1262	12
99	1275	0
